,new_title,new_link,parent_page,score,username,user_link,posted_time,number_of_comments
0,Dusting off Dreamcast Linux,http://oldvcr.blogspot.com/2023/02/dusting-off-dreamcast-linux.html,oldvcr.blogspot.com,102 points,todsacerdoti,https://news.ycombinator.com/user?id=todsacerdoti,2023-02-20 06:37:11,32 comments
1,A broad-spectrum synthetic antibiotic that does not evoke bacterial resistance,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(23)00026-9/fulltext,thelancet.com,65 points,avodonosov,https://news.ycombinator.com/user?id=avodonosov,2023-02-20 03:54:21,19 comments
2,AWS Creates New Policy-Based Access Control Language Cedar,https://www.infoq.com/news/2023/02/aws-policy-language-cedar/,infoq.com,34 points,msolujic,https://news.ycombinator.com/user?id=msolujic,2023-02-20 07:05:23,19 comments
3,DOjS is a JavaScript programming environment for systems running MS-DOS,https://github.com/SuperIlu/DOjS,github.com/superilu,51 points,graderjs,https://news.ycombinator.com/user?id=graderjs,2023-02-18 13:17:02,7 comments
4,China's FAST telescope reveals unprecedented details of Milky Way,http://english.news.cn/20221210/865dca4b89474d109a57a5957277fba1/c.html,news.cn,33 points,xrayarx,https://news.ycombinator.com/user?id=xrayarx,2023-02-20 08:16:59,3 comments
5,Childhoods of Exceptional People,https://www.lesswrong.com/posts/CYN7swrefEss4e3Qe/childhoods-of-exceptional-people,lesswrong.com,165 points,lxm,https://news.ycombinator.com/user?id=lxm,2023-02-18 01:37:44,153 comments
6,B2B startups stop innovating the day you give power to product managers,https://blog.luap.info/your-b2b-startup-will-stop-innovating-the-day-you-give-power-to-product-managers.html,luap.info,49 points,polote,https://news.ycombinator.com/user?id=polote,2023-02-17 16:55:27,28 comments
7,"Goodbye, CSS-Tricks",https://geoffgraham.me/goodbye-css-tricks/,geoffgraham.me,261 points,tagawa,https://news.ycombinator.com/user?id=tagawa,2023-02-20 03:43:32,58 comments
8,Writing an engineering strategy,https://lethain.com/eng-strategies/,lethain.com,238 points,kiyanwang,https://news.ycombinator.com/user?id=kiyanwang,2023-02-19 17:53:48,43 comments
9,Infiltration – the zine about going places you're not supposed to go,http://www.infiltration.org/,infiltration.org,83 points,almog,https://news.ycombinator.com/user?id=almog,2023-02-19 22:18:14,13 comments
